country,date,time,home_team,away_team,complementary_set,arbitrage_percentage,profit_margin,sources,home_win_odds,home_win_source,draw_odds,draw_source,away_win_odds,away_win_source,btts_yes_odds,btts_yes_source,btts_no_odds,btts_no_source,over_2.5_odds,over_2.5_source,under_2.5_odds,under_2.5_source,12_odds,12_source
Ukraine,09/05/2025,11:00,Vorskla Poltava U19,Chornomorets Odesa U19,pair_5,0.8567,14.33,"1xbet, Asbet, Tounesbet",,,,,,,,,,,2.3,Tounesbet,2.37,1xbet,,
Lithuania,11/05/2025,16:25,Dainava Alytus,FA Siauliai,pair_4,0.964,3.6,"1xbet, Asbet",,,,,,,1.98,Asbet,2.179,1xbet,,,,,,
England,16/05/2025,20:15,Chelsea,Manchester United,three_way,0.9914,0.86,"1xbet, Asbet",1.498,1xbet,5.3,Asbet,7.4,Asbet,,,,,,,,,,
England,16/05/2025,20:15,Chelsea,Manchester United,three_way,0.9914,0.86,"1xbet, Asbet",1.498,1xbet,5.3,Asbet,7.4,Asbet,,,,,,,,,,
Ecuador,09/05/2025,01:00,Imbabura SC,Guayaquil City FC,pair_2,0.9958,0.42,"1xbet, Asbet, Tounesbet",,,4.1,1xbet,,,,,,,,,,,1.33,Tounesbet
Bosnia and Herzegovina,10/05/2025,15:00,HSK Zrinjski,FK Radnik Bijeljina,pair_4,0.9983,0.17,"1xbet, Tounesbet",,,,,,,3.25,Tounesbet,1.448,1xbet,,,,,,
Bosnia and Herzegovina,10/05/2025,15:00,HSK Zrinjski,FK Radnik Bijeljina,pair_4,0.9983,0.17,"1xbet, Tounesbet",,,,,,,3.25,Tounesbet,1.448,1xbet,,,,,,
Bosnia and Herzegovina,10/05/2025,15:00,HSK Zrinjski,FK Radnik Bijeljina,pair_4,0.9983,0.17,"1xbet, Tounesbet",,,,,,,3.25,Tounesbet,1.448,1xbet,,,,,,
